venue,venue_hit_count,venue_avg_payout,venue_med_payout,venue_std_payout,venue_first_lane_1_rate,venue_first_lane_2_rate,venue_first_lane_3_rate,venue_first_lane_4_rate,venue_first_lane_5_rate,venue_first_lane_6_rate,venue_second_lane_1_rate,venue_second_lane_2_rate,venue_second_lane_3_rate,venue_second_lane_4_rate,venue_second_lane_5_rate,venue_second_lane_6_rate,venue_third_lane_1_rate,venue_third_lane_2_rate,venue_third_lane_3_rate,venue_third_lane_4_rate,venue_third_lane_5_rate,venue_third_lane_6_rate,venue_chaos_index
常滑,7050,7060.687943262411,2400.0,17177.096263823834,0.5754609929078014,0.12595744680851065,0.10425531914893617,0.10056737588652483,0.05815602836879433,0.03560283687943262,0.16184397163120567,0.24127659574468086,0.2173049645390071,0.16921985815602836,0.12070921985815602,0.08964539007092198,0.09106382978723404,0.18921985815602838,0.1924822695035461,0.18907801418439715,0.17914893617021277,0.15900709219858156,95.28354555673872
平和島,6331,7724.256831464224,3490.0,13080.301409260106,0.44842836834623284,0.1655346706681409,0.14468488390459644,0.12446690886115938,0.07423787711262043,0.04264729110725004,0.18938556310219554,0.22524087821829095,0.1892276101721687,0.17485389353972516,0.12573053230137418,0.09556152266624546,0.11262043910914547,0.19143895119254462,0.1819617753909335,0.17880271679039647,0.16363923550781867,0.17153688200916126,93.8100863495663
徳山,6824,6471.781946072685,1950.0,15641.774873640341,0.6348182883939039,0.13159437280187572,0.09686400937866355,0.07532239155920281,0.03824736225087925,0.023153575615474795,0.16398007033997655,0.2768171160609613,0.22406213364595545,0.16368698710433763,0.10507033997655334,0.06638335287221571,0.07004689331770222,0.1865474794841735,0.21688159437280188,0.2099941383352872,0.17335873388042203,0.14317116060961313,93.52573312937145
戸田,6990,7495.1859799713875,3420.0,13838.44667055739,0.43490701001430615,0.1686695278969957,0.155793991416309,0.13419170243204578,0.07081545064377683,0.035622317596566526,0.18197424892703862,0.22832618025751072,0.20371959942775394,0.1688125894134478,0.1317596566523605,0.08540772532188841,0.11087267525035766,0.18369098712446352,0.17467811158798283,0.1871244635193133,0.18140200286123032,0.16223175965665235,93.99732896559499
桐生,6762,7723.067139899438,3020.0,14766.462548923953,0.5031055900621118,0.1305826678497486,0.12747707778763678,0.12732919254658384,0.0761608991422656,0.03534457261165336,0.18456078083407276,0.2398698609878734,0.2080745341614907,0.14758947057083702,0.13220940550133098,0.08769594794439516,0.09331558710440697,0.17480035492457852,0.19727891156462585,0.19698314108251996,0.18722271517302574,0.15039929015084294,94.89384653102081
江戸川,6168,7154.711413748379,3280.0,12662.954670875428,0.4789234760051881,0.17542153047989623,0.13797016861219197,0.11770428015564202,0.06647211413748379,0.023508430609597925,0.19682230869001296,0.23297665369649806,0.20217250324254216,0.15272373540856032,0.12143320363164721,0.0938715953307393,0.10538261997405966,0.1817444876783398,0.192769130998703,0.17461089494163423,0.183041504539559,0.16245136186770429,92.71977941210895
津,13311,7145.715573585756,2420.0,17314.034240027704,0.5556306813913304,0.14296446547967845,0.11749680715197956,0.09796408985049959,0.0571707610247164,0.028773195101795507,0.18285628427616257,0.2597100142739088,0.20997671099090978,0.15956727518593644,0.11809781383817895,0.06979190143490346,0.08827285703553452,0.1833070392908121,0.20802343926076178,0.20036060401171962,0.1738411839831718,0.14619487641800016,95.4826899079696
浜名湖,7169,7402.939043102246,2720.0,15810.233518990002,0.5147161389315107,0.1443715999442042,0.14200027897893708,0.0982005858557679,0.0623517924396708,0.03835960384990933,0.18384711954247454,0.24229320686288186,0.20909471334914215,0.15957595201562283,0.12219277444552937,0.08299623378434928,0.08969172827451527,0.17422234621286092,0.1931929139349979,0.19528525596317478,0.18677639838192217,0.16083135723252895,95.0536396486461
福岡,6804,6727.34861845973,2350.0,15555.863040441764,0.5629041740152851,0.1437389770723104,0.14976484420928865,0.0856848912404468,0.03968253968253968,0.018224573780129337,0.17386831275720166,0.2739564961787184,0.2279541446208113,0.15858318636096413,0.11184597295708407,0.053791887125220456,0.09038800705467372,0.19547325102880658,0.18783068783068782,0.21502057613168724,0.1765138154027043,0.13477366255144033,93.88990034192136
芦屋,6842,8078.386436714411,2300.0,19944.913405740797,0.5938322128032739,0.10669394913767904,0.1065477930429699,0.10055539315989477,0.0586085939783689,0.03376205787781351,0.1631102016954107,0.22610347851505408,0.22639579070447238,0.17904121601870798,0.13241742180648933,0.07293189125986553,0.0822858813212511,0.1921952645425314,0.1945337620578778,0.18459514761765566,0.18751826951183864,0.15887167494884535,98.07508996963396
若松,6890,7469.2438316400585,2710.0,15720.603265878966,0.5716981132075472,0.11683599419448476,0.11915820029027577,0.09825834542815674,0.0579100145137881,0.03613933236574746,0.17039187227866473,0.2355587808417997,0.2204644412191582,0.15805515239477502,0.1227866473149492,0.09274310595065312,0.08809869375907112,0.1965166908563135,0.20638606676342525,0.18388969521044993,0.16197387518142234,0.16313497822931786,95.09805240436437
蒲郡,7056,6482.212301587301,2350.0,14028.440295263974,0.5632086167800453,0.12003968253968254,0.1197562358276644,0.11139455782312925,0.05272108843537415,0.032879818594104306,0.15915532879818595,0.23937074829931973,0.22151360544217688,0.1760204081632653,0.1296768707482993,0.07426303854875284,0.09382086167800453,0.18424036281179137,0.1961451247165533,0.20918367346938777,0.17630385487528344,0.14030612244897958,92.58751006611539
鳴門,6478,8250.586600802717,3230.0,16552.737320293734,0.47375733251003393,0.15004631058968818,0.15236184007409695,0.11994442729237419,0.07023772769373263,0.0336523618400741,0.18261809200370485,0.23973448595245447,0.1986724297622723,0.16795307193578266,0.12843470206853969,0.08258721827724606,0.10250077184316148,0.1762889780796542,0.1874035196048163,0.18941031182463725,0.1832355665328805,0.16116085211485026,96.62388580060896
