venue,course,win_rate,place_top3_rate,race_count
津,4,0.1003813674748025,0.47684554617270497,7342
津,5,0.05965676927267775,0.3616180877145192,7342
津,6,0.017978752383546716,0.20920730046308908,7342
三国,1,0.534767316017316,0.8085768398268398,7392
三国,2,0.15300324675324675,0.6020021645021645,7392
三国,3,0.1387987012987013,0.5505952380952381,7392
三国,4,0.10159632034632035,0.4816017316017316,7392
三国,5,0.056818181818181816,0.3501082251082251,7392
三国,6,0.015016233766233766,0.20711580086580086,7392
びわこ,1,0.541350269225459,0.8162363661466243,7243
びわこ,2,0.14054949606516637,0.5769708684246859,7243
びわこ,3,0.1321275714482949,0.544939942012978,7243
びわこ,4,0.10782824796355102,0.47715035206406187,7243
びわこ,5,0.060748308711859725,0.3742924202678448,7243
びわこ,6,0.01739610658566892,0.21041005108380506,7243
住之江,1,0.5868624623049692,0.8347974301822473,7627
住之江,2,0.1353087714697784,0.5744067129933133,7627
住之江,3,0.11590402517372493,0.5567064376556968,7627
住之江,4,0.09453258161793628,0.48039858397797297,7627
住之江,5,0.05152746820506097,0.3454831519601416,7627
住之江,6,0.015864691228530223,0.20820768323062802,7627
尼崎,1,0.5909966960352423,0.836453744493392,7264
尼崎,2,0.1164647577092511,0.5436398678414097,7264
尼崎,3,0.11825440528634361,0.5414372246696035,7264
尼崎,4,0.10256057268722467,0.4962830396475771,7264
尼崎,5,0.05437775330396476,0.3664647577092511,7264
尼崎,6,0.017345814977973568,0.2157213656387665,7264
鳴門,1,0.4789832433967623,0.7639875035501278,7042
鳴門,2,0.14541323487645555,0.5670264129508662,7042
鳴門,3,0.15521158761715423,0.5410394774211872,7042
鳴門,4,0.12141437091735302,0.49431979551263844,7042
鳴門,5,0.0775347912524851,0.3946322067594433,7042
鳴門,6,0.021442771939789832,0.238994603805737,7042
丸亀,1,0.5692205196535642,0.8331778814123917,7505
丸亀,2,0.137508327781479,0.5777481678880746,7505
丸亀,3,0.11778814123917389,0.5259160559626915,7505
丸亀,4,0.0960692871419054,0.48914057295136576,7505
丸亀,5,0.05836109260493005,0.3413724183877415,7505
丸亀,6,0.021052631578947368,0.23264490339773483,7505
児島,1,0.5659891598915989,0.8296747967479675,7380
児島,2,0.1264227642276423,0.5584010840108401,7380
児島,3,0.12289972899728997,0.5242547425474254,7380
児島,4,0.10609756097560975,0.49905149051490516,7380
児島,5,0.05745257452574526,0.3518970189701897,7380
児島,6,0.02113821138211382,0.23672086720867208,7380
宮島,1,0.5629275848715631,0.8137343487801729,7747
宮島,2,0.12675874532076933,0.5722215050987479,7747
宮島,3,0.12598425196850394,0.5625403381954305,7747
宮島,4,0.10042597134374597,0.4595327223441332,7747
宮島,5,0.06492835936491545,0.3809216470891958,7747
宮島,6,0.01897508713050213,0.2110494384923196,7747
徳山,1,0.6390328151986183,0.871662016739737,7527
徳山,2,0.13006509897701607,0.60263053009167,7527
徳山,3,0.09698419024843895,0.5404543642885612,7527
徳山,4,0.07904875780523449,0.46326557725521456,7527
徳山,5,0.04424073335990435,0.3418360568619636,7527
徳山,6,0.01062840441078783,0.1801514547628537,7527
下関,1,0.6047113289760349,0.8581154684095861,7344
下関,2,0.11315359477124183,0.5612745098039216,7344
下関,3,0.11083877995642702,0.5597766884531591,7344
下関,4,0.09735838779956427,0.4599673202614379,7344
下関,5,0.05296840958605664,0.34899237472766886,7344
下関,6,0.020969498910675382,0.21187363834422657,7344
若松,1,0.5742705570291777,0.83342175066313,7540
若松,2,0.12122015915119363,0.5598143236074271,7540
若松,3,0.12042440318302387,0.5517241379310345,7540
若松,4,0.1026525198938992,0.4679045092838196,7540
若松,5,0.06140583554376658,0.3559681697612732,7540
若松,6,0.020026525198938994,0.23116710875331564,7540
芦屋,1,0.5977623867874268,0.8446989877464038,7508
芦屋,2,0.10189131592967501,0.5254395311667555,7508
芦屋,3,0.10895045285029302,0.5326318593500267,7508
芦屋,4,0.10602024507192329,0.4798881193393713,7508
芦屋,5,0.06353223228556207,0.39397975492807674,7508
芦屋,6,0.02184336707511987,0.22336174746936602,7508
福岡,1,0.5699865410497981,0.8328398384925976,7430
福岡,2,0.14293405114401075,0.6161507402422611,7430
福岡,3,0.1500672947510094,0.5751009421265141,7430
福岡,4,0.08559892328398384,0.46837146702557203,7430
福岡,5,0.04172274562584118,0.34549125168236877,7430
福岡,6,0.009690444145356662,0.16204576043068641,7430
唐津,1,0.5573222875467664,0.8335114911811865,7484
唐津,2,0.14377338321753072,0.5948690539818279,7484
唐津,3,0.12306253340459647,0.5518439337252806,7484
唐津,4,0.10008017103153394,0.4681988241582042,7484
唐津,5,0.05972741849278461,0.3699893105291288,7484
唐津,6,0.016034206306787813,0.181587386424372,7484
大村,1,0.6216007217424926,0.8666065214589509,7759
大村,2,0.11973192421703828,0.5762340507797397,7759
大村,3,0.1081324913004253,0.5505864157752288,7759
大村,4,0.08712462946255961,0.45405335739141645,7759
大村,5,0.04961979636551102,0.3478541049104266,7759
大村,6,0.013790436911973193,0.20466554968423767,7759
