iter	Passed	Remaining
558	19490	4916
559	19529	4882
560	19566	4848
561	19603	4813
562	19638	4778
563	19675	4744
564	19709	4709
565	19743	4674
566	19780	4639
567	19818	4605
568	19856	4571
569	19897	4537
570	19935	4503
571	19971	4469
572	20009	4434
573	20044	4399
574	20080	4365
575	20114	4330
576	20148	4295
577	20184	4260
578	20222	4226
579	20258	4191
580	20296	4157
581	20334	4122
582	20373	4088
583	20416	4055
584	20451	4020
585	20487	3985
586	20522	3950
587	20556	3915
588	20592	3880
589	20626	3845
590	20658	3810
591	20698	3776
592	20735	3741
593	20774	3707
594	20807	3671
595	20845	3637
596	20880	3602
597	20917	3567
598	20952	3532
599	20994	3499
600	21030	3464
601	21069	3429
602	21105	3395
603	21145	3360
604	21181	3325
605	21216	3290
606	21248	3255
607	21282	3220
608	21323	3186
609	21356	3150
610	21391	3116
611	21430	3081
612	21467	3046
613	21506	3012
614	21548	2978
615	21582	2943
616	21622	2908
617	21661	2874
618	21697	2839
619	21734	2804
620	21770	2769
621	21807	2734
622	21843	2699
623	21879	2664
624	21918	2630
625	21956	2595
626	21993	2560
627	22026	2525
628	22065	2490
629	22098	2455
630	22137	2420
631	22178	2386
632	22216	2351
633	22251	2316
634	22286	2281
635	22324	2246
636	22362	2211
637	22398	2176
638	22432	2141
639	22468	2106
640	22503	2071
641	22538	2036
642	22576	2001
643	22618	1966
644	22656	1931
645	22700	1897
646	22737	1862
647	22774	1827
648	22810	1792
649	22843	1757
650	22884	1722
651	22920	1687
652	22953	1652
653	22990	1617
654	23026	1581
655	23063	1546
656	23100	1511
657	23135	1476
658	23165	1441
659	23200	1406
660	23239	1371
661	23272	1335
662	23309	1300
663	23346	1265
664	23382	1230
665	23419	1195
666	23452	1160
667	23489	1125
668	23522	1089
669	23561	1055
670	23598	1019
671	23633	984
672	23668	949
673	23703	914
674	23745	879
675	23781	844
676	23816	809
677	23854	774
678	23887	738
679	23929	703
680	23967	668
681	24002	633
682	24035	598
683	24072	563
684	24110	527
685	24151	492
686	24185	457
687	24224	422
688	24262	387
689	24297	352
690	24338	316
691	24375	281
692	24411	246
693	24445	211
694	24479	176
695	24516	140
696	24557	105
697	24590	70
698	24628	35
699	24666	0
